source_name,master_name,plant_count,year,urls,
4C Offshore,,1,,http://www.4coffshore.com/windfarms/tamra-offshore-wind-farm-project--south-korea-kr03.html,
4C Offshore,,1,,http://www.4coffshore.com/windfarms/sams%C3%B8-denmark-dk01.html,
4C Offshore,,1,,http://www.4coffshore.com/windfarms/northwind-belgium-be02.html,
4C Offshore,,1,,http://www.4coffshore.com/windfarms/r%C3%B8nland-denmark-dk04.html,
4C Offshore,,1,,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,
9ren,,6,,http://www.9ren.it/en/about-us/where-we-operate/our-plants/,
9ren,,1,,http://www.9ren.it/en/about-us/sustainability/environmental-initiatives,
9ren,,1,,http://www.9ren.it/en/about-us/where-we-operate/our-plants/item/183-genuini-eng,
A2A,,1,,http://www.a2a.eu/en/plants_networks/thermoelectric/cassano/,
A2A,,1,,http://www.a2a.eu/en/plants_networks/thermoelectric/gissi/,
A2A,,1,,http://www.a2a.eu/gruppo/cms/a2a/it/impianti_reti/termoelettrica/mincio.html,
A2A,,1,,http://www.a2a.eu/en/plants_networks/thermoelectric/monfalcone/,
A2A,,1,,http://www.a2a.eu/en/plants_networks/cogeneration/lamarmora.html,
Abakus Solar AG,,2,,http://www.abakus-solar.de,
Abengoa Solar,,2,,http://www.abengoasolar.com/web/en/plantas_solares/,
About Industry,,1,,http://www.industryabout.com/country-territories-3/1401-south-africa/solar-energy/26443-witkop-solar-power-plant,
Acc Acc ltd,,4,,ACC LTD,
Acciona,,1,,http://www.scatecsolar.com/Portfolio/South-Africa/Kalkbult-South-Africa-75-MW,
Acciona,,1,,http://www.acciona-energia.com/areas-of-activity/wind-power/major-projects/gouda-wind-farm/,
Acciona,,1,,http://www.acciona-energia.com/pressroom/news/2016/september/bokpoort-csp-plant-wins-south-african-national-energy-association-prize/,
Acciona,,1,,http://accionaenergia.azurewebsites.net/areas-of-activity/photovoltaic/major-projects/sishen-photovoltaic-plant/,
ACME Cleantech Solutions Private Limited,,1,,http://www.acme.in,
ACME Solar Energy,,1,,http://www.acme.in,
Adani Power Limite r Er,,2,,http://www.adanipower.com,
AES Group,,1,,http://aes-group.kz/eng/about/business/7735/,
AES Group,,1,,http://aes-group.kz/eng/about/business/7736/,
AES Winfra,,1,,http://www.aewinfra.com/solar.html,
Africa Hydropower Resources Database,,10,,http://afrec-energy.org/En/administration/hydro/index.php,
Africa's Power Journal,,1,,http://www.esi-africa.com/news/153mw-adama-wind-farm-grows-ethiopias-renewable-energy-plan/,
African Clean Energy Developments,,1,,http://www.nersa.org.za/Admin/Document/Editor/file/Consultations/Electricity/Presentations/Cookhouse%20Wind%20Farm%20%28ACED%20Renewables%20Cookhouse%29%20%28Pty%29%20Ltd.pdf,
African Development Bank Group,,171,,http://powerafrica.opendataforafrica.org,
African Development Bank Group,,1,,http://powerafrica.opendataforafrica.org/,
African Hydropower Resources Database,,5,,http://afrec-energy.org/En/administration/hydro/index.php,
