Plant	Latitude	Longitude	Capacity (MW)	CDM number	Satellite?	Latitude - corrected	Longitude - corrected	Capacity - corrected	Source	Notes
Bagasse based Cogeneration Project - Satish Sugar Limited	16.2422	74.8939	31	CDMDB0004057	Y	16.24222222	74.89388889			
Gangakhed Sugar & Energy Private Ltd (GSEPL) 30 MW Bagasse Based Co-generation Power Project	18.90083	76.715	30	CDMDB0004816	Y	18.904412	76.725737	30	http://www.gangakhedicpp.com	Single plant
Bagasse based Co-generation Project at Mawana Sugar Works	23.6833	76.3666	27.1	CDMDB0000805	N				http://www.mawanasugars.com/co-generation.php	At least three plants?
Dalmia Chini Mills Jawaharpur Project	27.5264	80.5583	27	CDMDB0004332						
Dalmia Chini Mills Nigohi Project	28.0582	79.869	27	CDMDB0004608						
26 MW Biomass (Cogeneration) based Power generation Project activity	13.3138	75.2124	26	CDMDB0000865						
KM RE project	26.47	82.8	25	CDMDB0000915						
Ramgarh Chini Mills RE project	25.1	80.5	25	CDMDB0001003						
24 MW Biomass Based Renewable Electricity Generation & Consumption in Ropar  Punjab  India	30	74	24	CDMDB0000109						
Bagasse based Cogeneration Plant at Seohara  Uttar Pradesh.	29.23	79.11	24	CDMDB0000810						
Power capacity expansion project at Dwarikesh Puram	29.19	78.31	24	CDMDB0001257						
The Godavari Sugar Mills Ltd (TGSML)'s 24 MW Bagasse Based Co-generation Power Project at Sameerwadi			24	CDMDB0000577						
Bagasse based Co-generation Power Project at Khatauli	29.1628	77.4354	23	CDMDB0000826						
Deoband Bagasse based Co-generation Power Project	29.41359	77.40224	22	CDMDB0000578						
RSCL cogeneration expansion project	11	78	22	CDMDB0000127						
SSML - Simbhaoli Biomass Power Project	28.48	78	22	CDMDB0001112						
20 MW Bagasse Based Co-generation Power Project at Bannari Amman Sugars Limited  Nanjangud  Karnataka	12.12	76.73	20	CDMDB0001574						
20 MW Biomass Power Project in Tamilnadu			20	CDMDB0002920						
20 MW Capacity Biomass based Power Project of M/s. SHALIVAHANA GREEN ENERGY LIMITED	20.7765	85.3189	20	CDMDB0005905						
20 MW biomass based power project in Maharashtra  India			20	CDMDB0003083						
20MW Bagasse based Cogeneration power project at Bannari Amman Sugars Limited  Sathyamangalam  Tamil Nadu by Bannari Amman Sugars Limited	11.3	77.17	20	CDMDB0003822						
Bagasse based Co-generation Project at Nanglamal Sugar Complex.	28.5928	77.4213	20	CDMDB0000804						
Bagasse based Co-generation Project at Titawi Sugar Complex	29.2839	77.4155	20	CDMDB0000803						
Bagasse based cogeneration project of Nizam Deccan Sugars Limited (NDSL)	18.6519	77.8908	20	CDMDB0002713						
DSCL Sugar Ajbapur Cogeneration Project Phase II	27.54	79.57	20	CDMDB0000982						
R K Powergen 20MW grid connected renewable energy biomass power project	14.1319	76.2401	20	CDMDB0000694						
Bagasse based Cogeneration Project at Pudukkottai Tamil Nadu  India	9.83333	78.41667	18.55	CDMDB0001139						
18 MW Biomass Power Project in Tamilnadu  India	9.5	78.5	18	CDMDB0000111						
Energy Efficiency Improvement at Tamil Nadu Newsprint and Papers Limited	11.0595	77.9938	16	CDMDB0004438						
Grid connected bagasse based cogeneration project of Ugar Sugar Works Limited (USWL).	16.33	74.75	16	CDMDB0000189						
Rice Husk based Co-generation Power Project at Usher Eco Power Limited  Chhata  Uttar Pradesh  India	27.79784	77.43271	16	CDMDB0009365						
Shri Chamundi Captive Energy Private Limited'  16MW biomass fired cogeneration plant for supply of power and steam to an industrial facility in Karnataka.	12.3	76.7	16	CDMDB0001350						
Biomass based Cogeneration Project activity taken up by India Glycols Limited at Gorakhpur  U.P.	26.77	83.37	15.8	CDMDB0003763						
15 MW Biomass Power Project by Shalivahana Green Energy Limited	22.02094	79.0126	15	CDMDB0007098						
15 MW Biomass Residue Based Power Project at Ghazipur  India	25.5808	83.4851	15	CDMDB0002708						
Biomass based Cogeneration unit at Co-operative Sugar mills in Fazilka  Punjab  India	30.28833	74.10139	15	CDMDB0006072						
Biomass based Cogeneration unit at Co-operative Sugar mills in Morinda  Punjab  India	30.8	76.5	15	CDMDB0005728						
Biomass based Cogeneration unit at Co-operative Sugar mills in Nakodar  Punjab  India	31.08117	75.47729	15	CDMDB0005980						
Biomass based power generation plant at village Channu  Punjab			14.5	CDMDB0004488						
Biomass based power project by Harinagar Sugar Mills Ltd	27.14833	84.33167	14.5	CDMDB0006315						
RREPL-14MW Rice Husk Power Project	21.5234	83.1548	14	CDMDB0000598						
BHL Thanabhawan Project			13	CDMDB0001180						
Grid connected 13MW biomass power project in Maharashtra	19.5216	75.2921	13	CDMDB0000936						
NSSM - Narkatiaganj Biomass Power Project	27.38	80.45	13	CDMDB0001294						
Bagasse based power project at Jamkhandi Sugars Limited  Bagalkot  Karnataka	16.18333	75.7	12.3	CDMDB0000282						
12 MW biomass based renewable power generation in Rajasthan  India	24.8044	71.6025	12	CDMDB0006878						
12.0 MW Biomass based power plant project at Baghaura  Punjab  India.	30.3319	76.6069	12	CDMDB0005867						
Bagasse Based cogeneration power project of Rana Sugars Limited  Amritsar District  Punjab;	31.58333	74.98333	12	CDMDB0000355						
