primary_country_name,geo_country_name,carma_country_name
Afghanistan,Afghanistan,Afghanistan
Albania,Albania,Albania
Algeria,Algeria,Algeria
American Samoa,American Samoa,American Samoa
Angola,Angola,Angola
Antarctica,Antarctica,Antarctica
Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda
Argentina,Argentina,Argentina
Armenia,Armenia,Armenia
Aruba,Aruba,Aruba
Australia,Australia,Australia
Austria,Austria,Austria
Azerbaijan,Azerbaijan,Azerbaijan
Bahamas,Bahamas,Bahamas  The
Bahrain,Bahrain,Bahrain
Bangladesh,Bangladesh,Bangladesh
Belarus,Belarus,Belarus
Belgium,Belgium,Belgium
Belize,Belize,Belize
Benin,Benin,Benin
Bermuda,Bermuda,Bermuda
Bhutan,Bhutan,Bhutan
Bolivia,Bolivia,Bolivia
Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina
Botswana,Botswana,Botswana
Brazil,Brazil,Brazil
British Virgin Islands,British Virgin Islands,British Virgin Islands
Brunei Darussalam,Brunei Darussalam,Brunei Darussalam
Bulgaria,Bulgaria,Bulgaria
Burkina Faso,Burkina Faso,Burkina Faso
Burundi,Burundi,Burundi
Cambodia,Cambodia,Cambodia
Cameroon,Cameroon,Cameroon
Canada,Canada,Canada
Cape Verde,Cape Verde,Cape Verde
Cayman Islands,Cayman Islands,Cayman Islands
Central African Republic,Central African Republic,Central African Republic
Chad,Chad,Chad
Chile,Chile,Chile
China,China,China
Colombia,Colombia,Colombia
Comoros,Comoros,Comoros
Congo,Congo,Congo  Rep.
Cook Islands,Cook Islands,Cook Islands
Costa Rica,Costa Rica,Costa Rica
Cote DIvoire,Cote DIvoire,Cote d'Ivoire
Croatia,Croatia,Croatia
Cuba,Cuba,Cuba
Cyprus,Cyprus,Cyprus
Czech Republic,Czech Republic,Czech Republic
Democratic Republic of the Congo,Democratic Republic of the Congo,Congo  Dem. Rep.
Denmark,Denmark,Denmark
Djibouti,Djibouti,Djibouti
Dominica,Dominica,Dominica
Dominican Republic,Dominican Republic,Dominican Republic
Ecuador,Ecuador,Ecuador
Egypt,Egypt,Egypt
El Salvador,El Salvador,El Salvador
Equatorial Guinea,Equatorial Guinea,Equatorial Guinea
Eritrea,Eritrea,Eritrea
Estonia,Estonia,Estonia
Ethiopia,Ethiopia,Ethiopia
Falkland Islands,Falkland Islands,Falkland Islands
Fiji,Fiji,Fiji
Finland,Finland,Finland
France,France,France
French Guiana,French Guiana,French Guiana
French Polynesia,French Polynesia,French Polynesia
Gabon,Gabon,Gabon
Gambia,Gambia,Gambia  The
Georgia,Georgia,Georgia
Germany,Germany,Germany
Ghana,Ghana,Ghana
Greece,Greece,Greece
Greenland,Greenland,Greenland
Grenada,Grenada,Grenada
Guam,Guam,Guam
Guatemala,Guatemala,Guatemala
Guinea,Guinea,Guinea
Guinea-Bissau,Guinea-Bissau,Guinea-Bissau
Guyana,Guyana,Guyana
Haiti,Haiti,Haiti
Honduras,Honduras,Honduras
Hong Kong,Hong Kong,Hong Kong (China)
Hungary,Hungary,Hungary
Iceland,Iceland,Iceland
India,India,India
Indonesia,Indonesia,Indonesia
Iran,Islamic Republic of Iran,Iran
Iraq,Iraq,Iraq
Ireland,Ireland,Ireland
Israel,Israel,Israel
Italy,Italy,Italy
Jamaica,Jamaica,Jamaica
Japan,Japan,Japan
Jordan,Jordan,Jordan
Kazakhstan,Kazakhstan,Kazakhstan
Kenya,Kenya,Kenya
Kiribati,Kiribati,Kiribati
Kosovo,Kosovo,Kosovo
Kuwait,Kuwait,Kuwait
Kyrgyzstan,Kyrgyzstan,Kyrgyz Republic
Laos,Peoples Democratic Republic of Lao,Laos
Latvia,Latvia,Latvia
Lebanon,Lebanon,Lebanon
Lesotho,Lesotho,Lesotho
Liberia,Liberia,Liberia
Libya,Libyan Arab Jamahiriya,Libya
Lithuania,Lithuania,Lithuania
Luxembourg,Luxembourg,Luxembourg
Macau,Macau,Macau (China)
Macedonia,Republic of Macedonia,Macedonia
Madagascar,Madagascar,Madagascar
Malawi,Malawi,Malawi
Malaysia,Malaysia,Malaysia
Maldives,Maldives,Maldives
Mali,Mali,Mali
Malta,Malta,Malta
Martinique,Martinique,Martinique
Mauritania,Mauritania,Mauritania
Mauritius,Mauritius,Mauritius
Mexico,Mexico,Mexico
Moldova,Republic of Moldova,Moldova
Mongolia,Mongolia,Mongolia
Montenegro,Montenegro,Montenegro
Montserrat,Montserrat,Montserrat
Morocco,Morocco,Morocco
Mozambique,Mozambique,Mozambique
Myanmar,Myanmar,Myanmar
Namibia,Namibia,Namibia
Nauru,Nauru,Nauru
Nepal,Nepal,Nepal
Netherlands,Netherlands,Netherlands
New Caledonia,New Caledonia,New Caledonia
New Zealand,New Zealand,New Zealand
Nicaragua,Nicaragua,Nicaragua
Niger,Niger,Niger
Nigeria,Nigeria,Nigeria
Niue,Niue,Niue
North Korea,North Korea,North Korea
Norway,Norway,Norway
Oman,Oman,Oman
Pakistan,Pakistan,Pakistan
Palestine,Palestine,Palestine
Panama,Panama,Panama
Papua New Guinea,Papua New Guinea,Papua New Guinea
Paraguay,Paraguay,Paraguay
Peru,Peru,Peru
Philippines,Philippines,Philippines
Poland,Poland,Poland
Portugal,Portugal,Portugal
Puerto Rico,Puerto Rico,Puerto Rico
Qatar,Qatar,Qatar
Reunion,Reunion,Reunion
Romania,Romania,Romania
Russia,Russian Federation,Russia
Rwanda,Rwanda,Rwanda
Saint Helena,Saint Helena,Saint Helena
Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis
Saint Lucia,Saint Lucia,Saint Lucia
Saint Pierre and Miquelon,Saint Pierre and Miquelon,Saint Pierre and Miquelon
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
Samoa,Samoa,Samoa
Sao Tome and Principe,Sao Tome and Principe,Sao Tome and Principe
Saudi Arabia,Saudi Arabia,Saudi Arabia
Senegal,Senegal,Senegal
Serbia,Serbia,Serbia
Seychelles,Seychelles,Seychelles
Sierra Leone,Sierra Leone,Sierra Leone
Singapore,Singapore,Singapore
Slovakia,Slovakia,Slovak Republic
Slovenia,Slovenia,Slovenia
Solomon Islands,Solomon Islands,Solomon Islands
Somalia,Somalia,Somalia
South Africa,South Africa,South Africa
South Korea,Republic of Korea,South Korea
Spain,Spain,Spain
Sri Lanka,Sri Lanka,Sri Lanka
Sudan,Sudan,Sudan
Suriname,Suriname,Suriname
Swaziland,Swaziland,Swaziland
Sweden,Sweden,Sweden
Switzerland,Switzerland,Switzerland
Syrian Arab Republic,Syrian Arab Republic,Syria
