Reporting Entity ,Facility Name,Type,Electricity Production (GJ),Greenhouse Gas Emissions Scope 1 (t-CO2-e),Greenhouse Gas Emissions Scope 2 (t-CO2-e),Greenhouse Gas Emissions Total Emissions (t-CO2-e),Important notes
ACCIONA ENERGY OCEANIA PTY LTD,Gunning Wind Farm,F,"622,579",31,375,406,N/A
ACCIONA ENERGY OCEANIA PTY LTD,Waubra Wind Farm,F,"2,506,981",73,"1,173","1,246",N/A
ACCIONA ENERGY OCEANIA PTY LTD,Corporate Total,C,"3,129,560",104,"1,548","1,652",N/A
AGL ENERGY LIMITED,Banimboola Hydro,F,"94,469",16,20,36,N/A
AGL ENERGY LIMITED,Bogong Power Station,F,"356,830",83,881,964,N/A
AGL ENERGY LIMITED,Burrendong Hydro,F,"56,899",1,81,82,N/A
AGL ENERGY LIMITED,Cairn Curran Hydro,F,475,0,0,0,N/A
AGL ENERGY LIMITED,Clover Hydro,F,"206,726",0,44,44,N/A
AGL ENERGY LIMITED,Coopers Cogeneration,F,"84,644","18,325",85,"18,410",N/A
AGL ENERGY LIMITED,Copeton Hydro,F,"168,951",1,86,87,N/A
AGL ENERGY LIMITED,Dartmouth Hydro,F,"1,287,160",0,"1,409","1,409",N/A
AGL ENERGY LIMITED,Eildon Hydro,F,"663,733",14,64,78,N/A
AGL ENERGY LIMITED,Glenbawn Hydro,F,"23,237",0,41,41,N/A
AGL ENERGY LIMITED,Glenorchy Landfill Generation,F,"40,373",614,1,615,N/A
AGL ENERGY LIMITED,Hallett (Stage 1) Wind Farm,F,"1,292,065",104,199,303,N/A
AGL ENERGY LIMITED,Hallett (Stage 2) Wind Farm,F,"967,209",85,156,241,N/A
AGL ENERGY LIMITED,Hallett (Stage 4) Wind Farm,F,"1,743,573",134,342,476,N/A
AGL ENERGY LIMITED,Hallett (Stage 5) Wind Farm,F,"603,982",63,179,242,N/A
AGL ENERGY LIMITED,Hobart Landfill Generation,F,"18,979",327,2,329,N/A
AGL ENERGY LIMITED,Kincumber Landfill Generation,F,"17,803",271,4,275,N/A
AGL ENERGY LIMITED,Loy Yang Power Station and Mine,F,"57,957,589","18,480,990","253,122","18,734,112",N/A
AGL ENERGY LIMITED,Macarthur Wind Farm,F,"3,838,563","1,114","2,358","3,472",N/A
AGL ENERGY LIMITED,McKay Creek Hydro,F,"434,993",1,"5,657","5,658",N/A
AGL ENERGY LIMITED,Moranbah Power Station,F,"239,879","35,895",46,"35,941",N/A
AGL ENERGY LIMITED,Oaklands Hill Wind Farm,F,"607,814",63,488,551,N/A
AGL ENERGY LIMITED,Pindari Hydro,F,"5,065",0,49,49,N/A
AGL ENERGY LIMITED,Rockingham Landfill Generation,F,"69,427","1,001",14,"1,015",N/A
AGL ENERGY LIMITED,Rubicon Hydro Scheme,F,"146,393",0,133,133,N/A
AGL ENERGY LIMITED,Shoalhaven Landfill Generation,F,"24,014",353,2,355,N/A
AGL ENERGY LIMITED,Somerton Power Station,F,"40,907","8,595","2,168","10,763",N/A
AGL ENERGY LIMITED,Suncoast Biomass Generation Plant,F,"4,147",57,63,120,N/A
AGL ENERGY LIMITED,Torrens Island Power Station,F,"6,241,443","1,014,877","15,211","1,030,088",N/A
AGL ENERGY LIMITED,Wattle Point Wind Farm,F,"1,065,059",51,192,243,N/A
AGL ENERGY LIMITED,Werribee Biogas Generator,F,"182,436","2,419","1,695","4,114",N/A
AGL ENERGY LIMITED,West Kiewa Hydro,F,"386,469",0,"1,506","1,506",N/A
AGL ENERGY LIMITED,Wilpena Pound Solar Generation,F,"3,043",590,0,590,N/A
AGL ENERGY LIMITED,Woy Woy Landfill Generation,F,"30,955",471,4,475,N/A
AGL ENERGY LIMITED,Yarrawonga Hydro,F,"159,209",0,32,32,N/A
AGL ENERGY LIMITED,Corporate Total,C,"79,064,513","19,566,515","286,334","19,852,849",N/A
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Anglesea Power Station,F,"4,463,866","1,337,535",379,"1,337,914",N/A
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Corporate Total,C,"4,463,866","1,337,535",379,"1,337,914",N/A
ALINTA COGENERATION (PINJARRA) PTY LTD,Alinta Pinjarra Generation Facility,F,"4,598,627","1,131,711",351,"1,132,062",N/A
ALINTA COGENERATION (PINJARRA) PTY LTD,Corporate Total,C,"4,598,627","1,131,711",351,"1,132,062",N/A
ALINTA COGENERATION (WAGERUP) PTY LTD,Wagerup Power Station,F,"187,299","31,611","6,231","37,842",N/A
ALINTA COGENERATION (WAGERUP) PTY LTD,Corporate Total,C,"187,299","31,611","6,231","37,842",N/A
ALINTA ENERGY FINANCE PTY LTD,Augusta Power Stations,F,"7,554,644","2,113,556","9,415","2,122,971",N/A
ALINTA ENERGY FINANCE PTY LTD,Bairnsdale Power Station,F,"557,588","80,645","1,020","81,665",N/A
ALINTA ENERGY FINANCE PTY LTD,Braemar Power Station,F,"5,872,925","919,714","1,172","920,886",N/A
ALINTA ENERGY FINANCE PTY LTD,Newman Power Station,F,"1,999,520","370,743",0,"370,743",N/A
ALINTA ENERGY FINANCE PTY LTD,Port Hedland Power Station,F,"1,888,427","404,313",0,"404,313",N/A
ALINTA ENERGY FINANCE PTY LTD,Corporate Total,C,"17,873,104","3,888,971","11,607","3,900,578",N/A
APT PIPELINES LIMITED,Emu Downs Wind Farm,F,"869,699",96,417,513,N/A
APT PIPELINES LIMITED,Corporate Total,C,"869,699",96,417,513,N/A
ARROW (GENERATION) PTY. LTD.,Daandine Power Station,F,"862,344","121,053",11,"121,064",N/A
ARROW (GENERATION) PTY. LTD.,Corporate Total,C,"862,344","121,053",11,"121,064",N/A
ARROW ENERGY HOLDINGS PTY LTD,Braemar 2 Power Station,F,"4,450,259","738,117","2,431","740,548",N/A
