dukes_name,gppd_idnr,repd_name,capacity_mw,latitude,longitude,fuel1,owner,source,url,geolocation_source
Aberthaw Power Station Biomass,GBR0000001,,35,51.3875,-3.4066,Biomass,RWE npower,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Abhainn Gleann Nam Fiadh,GBR0000498,,2,56.7839,-4.7711,Hydro,Green Highland Renewables,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Achairn,GBR0003285,,6.2,58.4385,-3.2015,Wind,James and Ronald Innes,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Achanalt,GBR0000468,,3,57.6108,-4.916,Hydro,Scottish and Southern Energy (SSE),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Achany Wind Farm,GBR0003205,,38,58.0019,-4.5,Wind,Scottish and Southern Energy (SSE),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Acrefair,GBR1000235,,4.997,,,Solar,Lightsource,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Advanced Manufacturing Research Centre,GBR0003028,,2.6,53.3876,-1.3779,Wind,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Agricultural Land at Trecastle,GBR0005150,,4,51.5238,-3.4252,Solar,Suncredit UK/ Vogt solar,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Aigas,GBR0000398,,20,57.4574,-4.5453,Hydro,Scottish and Southern Energy (SSE),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Aikengall,GBR0004526,,48,55.9172,-2.4901,Wind,Community Wind Power (01928 734544),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
"Aikengall II, Wester Dod Community Wind Farm",GBR0004332,,60.8,55.9172,-2.4901,Wind,Community Windpower,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Airfield Farm (Podington) (Resubmission),GBR0004116,,8.6,52.2363,-0.6089,Wind,Airvolution Energy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Airfield Farm PV,GBR0001550,,5,52.4746,0.9501,Solar,P V Farms 01,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Airies Farm,GBR0004462,,35,54.8021,-4.6577,Wind,NTR,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Alan Bartlett & Sons Solar,GBR0001085,,1.2,52.4511,0.0379,Solar,Alan Bartlett & Sons,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Albrighton Solar farm,GBR0005506,,15.8,52.6395,-2.2507,Solar,Big 60 Million,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Albury Landfill,GBR0000767,,1.5,51.2242,-0.4906,Waste,SITA UK,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Aldi - Cardiff,GBR0006486,,1.5,51.5002,-3.1181,Solar,Aldi,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Aldi Distribution Centre,GBR0005012,,1.3,55.8787,-3.6482,Solar,Aldi,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Aldi Distribution Centre - Darlington,GBR0001278,,1.2,54.5485,-1.5739,Solar,Aldi,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Aldi Distribution Centre - Neston,GBR0001390,,1.2,53.2894,-3.0322,Solar,Aldi,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Aller Court Farm Solar Park,GBR0001646,,5,51.0576,-2.8652,Solar,NESF (formerly British Solar Renewables),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Allington EFW,GBR0000886,,51,51.2865,0.4904,Waste,Kent Enviropower (FCC Environment),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Allt Cheanna Mhuir Hydro,GBR0000502,,1.3,56.9748,-5.12,Hydro,Green Highland Renewables,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Allt Dearg Wind Farmers LLP,GBR0003758,,10.8,55.9334,-5.4774,Wind,Ormsary and Stronachullin Estates (Allt Dearg Wind Farmers LLP),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Allt Fionn - resubmission,GBR0000473,,2.1,56.3492,-4.7007,Hydro,Osspower Ltd,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Allt Garbh hydro,GBR0000454,,1.5,57.2559,-5.0186,Hydro,Green Highland Renewables (on behalf of Highland Hydro Services),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Allt Ladaidh Hydro,GBR0000488,,1.3,57.0604,-4.9225,Hydro,Green Highland Renewables,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Allt na Lairige,GBR1000399,,6,,,Hydro,Scottish and Southern: Hydro Schemes - Sloy/Awe,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Alltwalis,GBR1000485,,23,51.8555,-4.3053,Wind,Statkraft Wind UK Ltd,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,CARMA
Alscot,GBR0006492,,1.6,52.175,-1.679,Biomass,RCMA Stratford,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Altahullion,GBR0003575,,26,54.9626,-7.0341,Wind,Renewable Energy Systems (RES) / BP Energy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Altahullion Phase II,GBR0003244,,5.2,54.9702,-6.9996,Wind,B9 Energy / RES,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Altamuskin,GBR0004139,,7.1,54.5222,-7.0946,Wind,Altamuskin Windfarm (Energia),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Altamuskin Extension,GBR0004557,,7.1,54.5128,-7.1113,Wind,Altamuskin Windfarm (Energia),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Altaveedan Wind Farm,GBR0003850,,17.9,55.0847,-6.2578,Wind,NTR PLC,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Alveston Wind Park,GBR0004335,,6.9,51.5723,-2.4999,Wind,Ecotricity,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Amcor Flexibles,GBR0005312,,1.7,51.5224,-2.5266,Solar,Langley Eco,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
An Suidhe,GBR0003298,,19.3,56.2187,-5.2194,Wind,RWE npower,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Andershaw,GBR0004110,,36,55.5093,-3.8463,Wind,Statkraft UK,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Andershaw,GBR1000486,,36.3,,,Wind,Statkraft Wind UK Ltd,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Andover Solar Farm,GBR0001570,,5,51.2112,-1.5364,Solar,The Clark Trustees,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Anglesey,GBR1000006,,14.92608,,,Solar,Anesco,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Anthony Estate Solar Farm - resubmission,GBR0001954,,4.7,50.3502,-4.2498,Solar,St Antony 101 PV Park,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Arden Quarry Landfill,GBR0000783,,3.1,53.3718,-1.9681,Waste,Natural Power,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Ardley EfW,GBR1000510,,26,,,Waste,Viridor Waste Management,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Ardley EfW,GBR0000962,,24,51.8813,-1.2304,Waste,Viridor,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Ardley Fields Farm Landfill Site,GBR0000587,,1.8,51.9433,-1.2086,Waste,Haul Waste Limited,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Ardoch and Over Enoch Wind Farm (Ardoch),GBR0003925,,7.2,55.72,-4.2537,Wind,2020 Renewables/ NTR,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Ardoch and Over Enoch Wind Farm (Over Enoch),GBR0003855,,4.3,55.7102,-4.2521,Wind,2020 Renewables/ NTR,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Ardrossan,GBR0003117,,24,55.6439,-4.8061,Wind,Airtricity,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Ardrossan Extension,GBR0004668,,6,55.6439,-4.8061,Wind,Airtricity,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Ardtalnaig Hydro Scheme (resubmission),GBR0000476,,2,56.5256,-4.1335,Hydro,Achomer Energy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Ardtornish Estate-Upgrade to existing,GBR0000482,,1.5,56.5583,-5.6873,Hydro,Ardtornish Estate,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Ardwick Railway Goods Yard Incinerator (Newhaven EFW Plant),GBR0000897,,33.5,53.474,-2.2079,Waste,Associated Energy Projects plc,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Arecleoch Windfarm,GBR0003258,,120,55.0688,-4.7971,Wind,Scottish Power Renewables,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Ark Hill,GBR0004062,,6.4,56.5709,-3.0481,Wind,Green Cat Renewables / Strathmore Estates,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Arkwright Solar Farm,GBR0002107,,8,53.2479,-1.3464,Solar,Conergy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Arla Dairy Site,GBR0004906,,5,51.8206,-0.7382,Biomass,Olleco and Arla Foods,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Arlesey Landfill Gas (Extension),GBR0000774,,2.3,52.003,-0.2703,Waste,Waste Recycling Group,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Arlesey Landfill Site,GBR0000664,,1.1,52.0017,-0.2767,Waste,Waste Recycling Group,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Armistead Wind Farm,GBR0003986,,12,54.276,-2.6388,Wind,Banks Renewables,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Arna Wood Solar,GBR0002263,,6.2,54.0223,-2.8228,Solar,BE Renewables (on behalf of Arna Wood),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Arnish,GBR1000410,,10,,,Oil,Scottish and Southern: Island Generation,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Arnish Moor,GBR0003306,,3.9,58.1766,-6.4383,Wind,Arnish Electric Ltd / Farm Energy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Arpley Landfill Scheme 'A',GBR0000547,,7.9,53.3718,-2.6432,Waste,NOVERA,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Arpley Landfill Scheme 'B',GBR0000549,,7.9,53.3718,-2.6432,Waste,NOVERA,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Artfield Fell,GBR0004518,,19.5,54.9704,-4.7746,Wind,Scottish and Southern Energy (SSE),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Ashby,GBR1000169,,4.954,,,Solar,Greencoat Solar,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Ashby Solar Farm (a),GBR0005273,,5,52.7227,-1.4853,Solar,Primrose Solar,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Ashlawn Farm,GBR0002375,,6.8,51.2557,-2.9041,Solar,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Askern Colliery solar farm,GBR0002213,,5,53.6208,-1.1602,Solar,Anesco,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Aspatria,GBR0002007,,19,54.778,-3.3241,Solar,United Photovoltaics,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Aspatria Creamery,GBR0005516,,5,54.7581,-3.3309,Biomass,First Milk Cheese Company,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Assel Valley,GBR1000158,,27.6,,,Wind,Falck Renewables Wind Ltd,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Assel Valley Wind Farm,GBR0004645,,25,55.2265,-4.7787,Wind,Falck Renewables,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Astley Solar Farm,GBR0005266,,5,52.4672,-2.3239,Solar,Rockfire Capital,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Aston House Solar Farm,GBR0001955,,20,52.8817,-1.743,Solar,Solar century / Magnetar Solar,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Atherstone,GBR0002278,,14.7,52.6131,-1.559,Solar,Foresight Solar Fund,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Attlebridge Landfill Site,GBR0000509,,1.3,52.6999,1.1776,Waste,Renewable Power Generation Ltd,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Auchencarroch Landfill,GBR0000688,,2.1,55.9968,-4.5334,Waste,Auchencarroch Energy Ltd / CLP,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Auchencarroch Landfill Extension,GBR0000786,,2,55.9972,-4.5326,Waste,Auchencarroch Energy Ltd/CLP,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Auchinderran Wind Farm,GBR0003806,,2.4,57.5814,-2.6468,Wind,Green Cat Renewables,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Auchinlea Landfill Site,GBR0000716,,2.3,55.8096,-3.9004,Waste,Natural Power,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Auchrobert Wind Farm,GBR0004337,,36,55.624,-3.9842,Wind,Falck Renewables,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Auchtertyre,GBR1000200,,0.6,,,Hydro,Innogy Renewables UK Ltd,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Austrey House Farm,GBR0005668,,1.5,52.6438,-1.558,Biomass,William Corbett Farms,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Aveley,GBR0000514,,1.2,51.504,0.2333,Waste,Waste Recycling Group,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Aveley Landfill Scheme,GBR0000510,,2.1,51.5039,0.2348,Waste,Waste Recycling Group,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Avenue Farm,GBR0001909,,7.3,52.5757,1.389,Solar,Lightsource Renewable Energy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Averhill Farm,GBR0005287,,5,53.1481,-1.387,Solar,Lightsource Renewable Energy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Avondale,GBR0000639,,4,55.905,-3.945,Waste,Shanks Avondale,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Avonmouth,GBR0000915,,6.5,51.5097,-2.6908,Biomass,Avonmouth Biopower,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Avonmouth,GBR0005864,,4.2,51.508,-2.6783,Solar,Bristol Energy Co-Op,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Avonmouth Low Carbon Energy Facility - Phase 2,GBR0001014,,6.5,51.5097,-2.6908,Biomass,Avonmouth Biopower,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Avonmouth Port,GBR0003194,,6,51.5166,-2.7027,Wind,Bristol Port Authority,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Avonmouth Port - extension,GBR0004159,,9,51.5029,-2.6988,Wind,Bristol Port Company,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Avonmouth Port II,GBR0003927,,5,51.5383,-2.6739,Wind,Bristol City Council - Energy Management Unit,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Avonmouth Wind Power,GBR0003664,,8.2,51.5115,-2.6735,Wind,Wessex Water Engineering Services,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Awe Barrage,GBR1000400,,0.86,,,Hydro,Scottish and Southern: Hydro Schemes - Sloy/Awe,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Ayshford Court Farm,GBR0001569,,5,50.9319,-3.3459,Solar,AEE Renewables UK,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
B&Q Swindon DC,GBR0005653,,2.5,51.5996,-1.7429,Solar,Kingfisher Scottish Limited Partnership,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
BAE Samlesbury Aerodrome,GBR0002179,,2,53.7709,-2.5782,Solar,British Aerospace Defence Limited,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
BH Energy - Biogas (AD),GBR0000230,,2.1,54.6193,-5.7889,Biomass,Blakiston Houston Estate Company,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
BIOSSENCE SOLAR PARK,GBR0001607,,4.5,51.3202,0.4816,Solar,AGR,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
BMW UK Manufacturing Ltd,GBR0001284,,3,51.7328,-1.1947,Solar,Free Green Energy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
BROWNIELEYS - 3 WIND TURBINES,GBR0004348,,7.5,56.8399,-2.3791,Wind,Brownieleys Renewables/Muirden Energy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
BV Dairy  (Farm AD),GBR0000214,,1.5,51.0112,-2.1828,Biomass,BV Dairy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Babergh Home Solar Scheme,GBR0001893,,2.8,52.0486,0.9444,Solar,Babergh District Council,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Badachro hydro scheme - resubmission,GBR0000491,,1.5,57.6778,-5.7076,Hydro,Badachro Hydro Limited,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Baglan Bay CCGT,GBR1000312,,520,51.6145,-3.8352,Gas,MPF Operations Limited,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,GEODB
Baglan Bay OCGT,GBR1000314,,32.3,51.5924,-3.7802,Gas,MPF Operations Limited,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,CARMA
Baglan Bay Solar Farm - Phase 1,GBR0002381,,5,51.6094,-3.8295,Solar,St. Modwen Developments,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
