FacilityReportID,PollutantReleaseAndTransferReportID,FacilityID,NationalID,ParentCompanyName,FacilityName,StreetName,BuildingNumber,City,PostalCode,CountryCode,CountryName,Lat,Long,RBDGeoCode,RBDGeoName,NUTSRegionGeoCode,NUTSRegionGeoName,RBDSourceCode,RBDSourceName,NUTSRegionSourceCode,NUTSRegionSourceName,NACEMainEconomicActivityCode,NACEMainEconomicActivityName,MainEconomicActivityNameSource,CompetentAuthorityName,CompetentAuthorityAddressStreetName,CompetentAuthorityAddressBuildingNumber,CompetentAuthorityAddressCity,CompetentAuthorityAddressPostalCode,CompetentAuthorityAddressCountryCode,CompetentAuthorityAddressCountryName,CompetentAuthorityTelephoneCommunication,CompetentAuthorityFaxCommunication,CompetentAuthorityEmailCommunication,CompetentAuthorityContactPersonName,ProductionVolumeProductName,ProductionVolumeQuantity,ProductionVolumeUnitCode,ProductionVolumeUnitName,TotalIPPCInstallationQuantity,OperatingHours,TotalEmployeeQuantity,WebsiteCommunication,PublicInformation,ConfidentialIndicator,ConfidentialityReasonCode,ConfidentialityReasonName,ProtectVoluntaryData,RemarkText,MainIASectorCode,MainIASectorName,MainIAActivityCode,MainIAActivityName,MainIASubActivityCode,MainIASubActivityName
1848,1,5749,1011010299,EVN AG,Kraftwerk Thei§,Ludwig Bruckner-Stra§e 1,,Gedersdorf,3494,AT,Austria,48.383333,15.7,AT1000,Danube,AT12,Lower Austria,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,AT,Austria,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
1849,1,5750,1011010302,EVN AG,Kraftwerk DŸrnrohr,Kraftwerksstra§e 1,,Zwentendorf an der Donau,3435,AT,Austria,48.316667,15.916667,AT1000,Danube,AT12,Lower Austria,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,AT,Austria,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
1864,1,5776,1014710156,STEWEAG-STEG GmbH,Energiepark Donawitz GmbH & CoKG,Kerpelystrasse 199,,Leoben,8700,AT,Austria,47.366667,15.083333,AT1000,Danube,AT22,Styria,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,AT,Austria,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
1865,1,5777,1014810386,Energie AG Oberšsterreich,Kraftwerk Riedersbach 1,Riedersbach 109,,St. Pantaleon,5120,AT,Austria,48.033333,12.833333,AT1000,Danube,AT31,Upper Austria,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,AT,Austria,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
1866,1,5778,1014810389,Energie AG Oberšsterreich,Kraftwerk Riedersbach 2,Riedersbach 109,,St. Pantaleon,5120,AT,Austria,48.033333,12.833333,AT1000,Danube,AT31,Upper Austria,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,AT,Austria,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
1867,1,5779,1014810391,Energie AG Oberšsterreich,Kraftwerk Timelkam II,MŸhlfeld 2,,Timelkam,4850,AT,Austria,48,13.583333,AT1000,Danube,AT31,Upper Austria,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,AT,Austria,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
1876,1,5800,1018710157,Stadtwerke Klagenfurt AG,Fernheizkraftwerk Klagenfurt Pischeldorfer Stra§e 21,St. Veiter Stra§e 31,,Klagenfurt,9020,AT,Austria,46.616667,14.316667,AT1000,Danube,AT21,Carinthia,UNKNOWN,N/A,,,NACE_1.1:40.30,Steam and hot water supply,Steam and hot water supply,Not transferred from EPER,,,,,AT,Austria,0,0,,,,480000000,UNKNOWN,N/A,,8760,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
1879,1,5806,1020010400,Linz AG,Fernheizkraftwerk Mitte,Nebingerstra§e 1,,"Linz, Donau Postfach",4021,AT,Austria,48.3,14.316667,AT1000,Danube,AT31,Upper Austria,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,AT,Austria,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
1880,1,5807,1020010404,Linz AG,Fernheizkraftwerk SŸd,Lunzerstra§e 90,,Linz,4030,AT,Austria,48.266667,14.35,AT1000,Danube,AT31,Upper Austria,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,AT,Austria,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
1921,1,5876,1038610359,Cogeneration-Kraftwerke Management O….,Cogeneration-Kraftwerke Management O….,Bšhmerwaldstrasse 3,,Linz,4020,AT,Austria,47.966667,13.816667,AT1000,Danube,AT31,Upper Austria,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,AT,Austria,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
1924,1,5880,1039210367,Verbund-Austrian Thermal Power GmbH & Co KG,Dampfkraftwerk Neudorf/Werndorf II,Weisseneggweg 1,,Werndorf,8402,AT,Austria,46.916667,15.483333,AT1000,Danube,AT22,Styria,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,AT,Austria,0,0,,,,160,UNKNOWN,N/A,,1137,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
1931,1,5898,1042310418,UPM Kymmene Austria GmbH/SCA- Graphic-Laakirchen,EEVG,Fabriksplatz 1,,Laakirchen,4663,AT,Austria,47.983333,13.816667,AT1000,Danube,AT31,Upper Austria,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,AT,Austria,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
1936,1,5904,1043410448,Wienstrom GmbH,Kraftwerk Leopoldau GuD,Thayagasse 1,,Wien,1210,AT,Austria,48.266667,16.433333,AT1000,Danube,AT13,Vienna,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,AT,Austria,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
1937,1,5905,1043410633,Wienstrom GmbH,Kraftwerk Simmering Summe BKW 1 / 2 und BKW3,1.Haidequerstra§e 1,,Wien,1110,AT,Austria,48.166667,16.433333,AT1000,Danube,AT13,Vienna,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,AT,Austria,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
1938,1,5906,1043410634,Wienstrom GmbH,"Kraftwerk Donaustadt Summe BKW 1, BKW 2 und BKW 3",Primavesigasse 1,,Wien,1220,AT,Austria,48.183333,16.45,AT1000,Danube,AT13,Vienna,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,AT,Austria,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
1953,1,5937,1050810531,Verbund-Austrian Thermal Power GmbH & Co KG,Dampfkraftwerk St. AndrŠ,Siebending 22,,St. AndrŠ,9433,AT,Austria,46.75,14.816667,AT1000,Danube,AT21,Carinthia,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,AT,Austria,0,0,,,,273,UNKNOWN,N/A,,2455,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
1954,1,5938,1051010534,Verbund-Austrian Thermal Power GmbH & Co KG,"Dampfkraftwerk DŸrnrohr, Block 1",Kraftwerkstrasse 1,,Zwentendorf an der Donau,3435,AT,Austria,48.3,15.883333,AT1000,Danube,AT12,Lower Austria,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,AT,Austria,0,0,,,,1233,UNKNOWN,N/A,,3193,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
1955,1,5939,1051210537,Verbund-Austrian Thermal Power GmbH & Co KG,Dampfkraftwerk Voitsberg,Packerstrasse 12,,Voitsberg,8570,AT,Austria,47.033333,15.15,AT1000,Danube,AT22,Styria,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,AT,Austria,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
1957,1,5943,1051710538,Verbund-Austrian Thermal Power GmbH & Co KG,Fernheizkraftwerk Mellach,Weisseneggweg 1,,Wildon,8410,AT,Austria,46.933333,15.516667,AT1000,Danube,AT22,Styria,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,AT,Austria,0,0,,,,1024,UNKNOWN,N/A,,5082,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
1976,1,5970,1063910666,Fritz EGGER GmbH & CO Holzwerkstoffe Unterradlberg,Fritz EGGER GmbH & CO Holzwerkstoffe Unterradlberg,Tirolerstra§e 16,,St. Pšlten,3105,AT,Austria,48.25,15.666667,AT1000,Danube,AT12,Lower Austria,UNKNOWN,N/A,,,NACE_1.1:20.20,Manufacture of veneer sheets and of plywood and other panels & boards,Manufacture of veneer sheets and of plywood and other panels & boards,Not transferred from EPER,,,,,AT,Austria,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
10635,2,5748,1011010117,EVN AG,Kraftwerk Korneuburg,Kaiserallee -,,Korneuburg,2100,AT,Austria,48.316667,16.333333,AT1000,Danube,AT12,Lower Austria,UNKNOWN,N/A,,,NACE_1.1:40.10,Production and distribution of electricity,Production and distribution of electricity,Not transferred from EPER,,,,,AT,Austria,0,0,,,,,,,,,,,,FALSE,,,FALSE,,EPER_1,Energy industries,EPER_1.1,Combustion installations > 50 MW,,
